Image Name,Keywords
Black-and-white Ruffed Lemur,NZP-20181114-8734SB,"Species: variegata,Genus: Varecia,Family: Lemuridae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Black and White Ruffed Lemur,Ruffed Lemur,Primate,Lemur"
Orangutan,NZP-20110524-329MM,"enrichment,Pongo pygmaeus: Bornea and Pongo abelii: Sumatran,Species: pygmaeus,Genus: Pongo,Family: Hominidae,Order: Primates,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Lucy,lookie lou,mirror,Orangutan,Ape,female,outside,horizontal"
Green-crested Basilisk,NZP-20110526-012MM,"Species: plumifrons,Genus: Basiliscus,Family: Corytophanidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Reptile,Lizard,Reptile house,horizontal"
Abyssinian Ground Hornbill,NZP-20160316-0932AE,"Abyssinian Ground Hornbill,Bird,Class: Aves,Family: Bucorvidae,Genus: Bucorvus,Hornbill,Kingdom: Animalia,Northern Ground Hornbill,Order: Coraciiformes,Phylum: Chordata,Species: abyssinicus"
Degu,NZP-20111005-093MM-000001,"Species: degus,Genus: Octodon,Family: Octodontidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Degu,SMH,Small Mammal House,Rodent"
Screaming Hairy Armadillo,NZP-20150228-0182CN,"Armadillo,Screaming Hairy Armadillo,Walter,Species: vellerosus,Genus: Chaetophractus,Family: Dasypodidae,Order: Cingulata,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Small Mammal House,SMH,Edentate,Xenarthara,Screaming hairy armadillo,horizontal,male"
Giant Leaf-tailed Gecko,NZP-20180131-9092JPJ,"Reptile,Species: fimbriatus,Genus: Uroplatus,Family: Gekkonidae,Order: Squamata,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,Giant Leaf-tailed Gecko,Gecko"
Giant Panda Bei Bei in a tree,NZP-20190612_052CPM-000001,"Smithsonian's National Zoo & Conservation Biology Institute,National Zoo,Smithsonian Institution,NZP,Open Access,Open Access/CCO,CCO,Giant Pandas,Bei Bei,Mammalia,Carnivora,Ursidae,Ailuropoda melanoleuca"
Tomato Frog,NZP-20151207-008AP,"Species: guineti,Genus: Dyscophus,Family: Microhylidae,Order: Anura,Class: Amphibia,Phylum: Chordata,Kingdom: Animalia,Frog,Tomato Frog,Amphibian"
Brazillian Agouti,NZP-20180622-5506RP,"Agouti,SMH,Small Mammal House,Species: leporina,Genus: Dasyprocta,Family: Dasyproctidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Brazillian Agouti,Red-rumped Agouti,Rodent"
Red River Hog,NZP-20160204-018CTW,"Red River Hog,Cheetah Conservation Station,Species: porcus,Genus: Potamochoerus,Family: Suidae,Order: Cetartiodactyla,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Hog,Ungulate,Kid's Farm,Even-toed ungulate"
Arapaima,NZP-20130613-25AW,"Arapaima,Species: gigas,Genus: Arapaima,Family: Osteoglossidae,Order: Osteoglossiformes,Class: Actinopterygii,Phylum: Chordata,Kingdom: Animalia,Amazonia,horizontal"
Prehensile-tailed Porcupine,NZP-20100615-058MM,"Clark,Species: prehensilis,Genus: Coendou,Family: Erethizontidae,Order: Rodentia,Class: Mammalia,Phylum: Chordata,Kingdom: Animalia,Rodent,Prehensile-tailed Porcupine,Porcupine,SMH,Small Mammal House,Brazilian Porcupine,Coendu,male,horizontal"
Cuban Crocodile,NZP-20130206-020CPM-000001,"Species: rhombifer,Genus: Crocodylus,Family: Crocodylidae,Order: Crocodylia,Class: Reptilia,Phylum: Chordata,Kingdom: Animalia,baby,Reptile,Crocodilian,Crocodile"
